0,Destination,Date,Description ,Category,Quantity,Unit_Cost,Local_Currency,Pound_Sterling,Total_Spending
1,Santa Cruz,13/10/2023,Hostel,Lodging,4,85,340,37.53,37.53
2,Santa Cruz,14/10/2023,Airport Pick Up,Transportation,1,40,40,4.42,41.95
3,Santa Cruz,15/10/2023,Gym,Gym,1,10,30,3.31,45.26
4,Santa Cruz,16/10/2023,Sim Card & Internet,Other,10,9,90,9.93,55.19
5,Santa Cruz,16/10/2023,Sundries,Other,30,1.87,56.04,6.19,61.38
6,Santa Cruz,16/10/2023,Atm Charge,Other,1,7,7,0.77,62.15
7,Santa Cruz,16/10/2023,Amusement Park ,Activities,1,46,46,5.08,67.23
8,Santa Cruz,16/10/2023,Samaipata - Collectivo,Transportation,2,30,60,6.62,73.85
9,Santa Cruz,16/10/2023,Museo ,Activities,1,4,4,0.44,74.29
10,Santa Cruz,16/10/2023,Food,Food,1,120,120,13.25,87.54
11,Cochabamba,17/10/2024,Bus Ticket ,Transportation,1,73,73,8.06,95.6
12,Cochabamba,18/10/2024,Dinner And Snacks ,Food,1,23,23,2.54,98.14
13,Cochabamba,19/10/2024,Sandboarding ,Activities,1,200,200,22.08,120.22
14,Cochabamba,20/10/2024,Grocerries ,Grocery,2,33.5,67,7.4,127.62
15,Cochabamba,20/10/2024,Food,Food,1,57.5,57.5,6.35,133.97
16,Cochabamba,20/10/2024,Contact Lens Solutions,Other,1,60,60,6.62,140.59
17,Cochabamba,20/10/2024,Gym,Gym,1,10,10,1.1,141.69
18,Cochabamba,20/10/2024,Idrive ,Transportation,1,25,25,2.76,144.45
19,Cochabamba,20/10/2024,Huminta,Food,2,7,14,1.55,146
20,Cochabamba,20/10/2024,Nanas ,Food,1,2,2,0.22,146.22
21,Cochabamba,20/10/2024,Toilet ,Other,1,1,1,0.11,146.33
22,Cochabamba,20/10/2024,Water,Other,1,10,10,1.1,147.43
23,Cochabamba,20/10/2024,Collectivo ,Transportation,4,6,24,2.65,150.08
24,Cochabamba,20/10/2024,Water Boat,Activities,1,15,15,1.66,151.74
25,Cochabamba,20/10/2024,Popcorn,Food,1,5,5,0.55,152.29
26,Cochabamba,20/10/2024,Hipermaxi ,Grocery,4,10,40,4.42,156.71
27,Cochabamba,20/10/2024,Gym,Gym,1,10,10,1.1,157.81
28,Cochabamba,20/10/2024,Snacks,Food,2,7,7,0.77,158.58
29,Cochabamba,20/10/2024,Bus Ticket To Sucre,Transportation,1,92,92,10.16,168.74
30,Cochabamba,20/10/2024,Bread For Host,Other,1,9,9,0.99,169.73
31,Cochabamba,20/10/2024,Indrive To Bus Station,Transportation,1,13,13,1.43,171.16
32,Sucre ,21/10/2023,Market (Fruits & Cheese & Pasta),Grocery,3,32,32,3.53,174.69
33,Sucre ,22/10/2023,Nail Clipper,Other,1,7,7,0.77,175.46
34,Sucre ,23/10/2023,Lucky Cookies,Other,2,2,4,0.44,175.9
35,Sucre ,24/10/2023,Supermarket,Grocery,1,68,68,7.51,183.41
36,Sucre ,24/10/2023,Airbnb,Lodging,4,40,170,18.76,202.17
37,Sucre ,24/10/2023,Indrive,Transportation,1,5,5,0.55,202.72
38,Sucre ,24/10/2023,Indrive,Transportation,1,6,6,0.66,203.38
39,Sucre ,24/10/2023,3 Days Uyuni Tour,Activities,1,55,55,6.07,209.45
40,Sucre ,24/10/2023,Photo,Activities,1,25,25,2.76,212.21
41,Sucre ,24/10/2023,Gym,Gym,1,10,10,1.1,213.31
42,Sucre ,24/10/2023,Cocao,Food,1,10,10,1.1,214.41
43,Sucre ,24/10/2023,Street Food,Food,1,5,5,0.55,214.96
44,Sucre ,24/10/2023,Swimming Pool,Dating,1,20,20,2.21,217.17
45,Sucre ,24/10/2023,Taxi,Transportation,1,6,6,0.66,217.83
46,Sucre ,24/10/2023,Restaurant,Food,1,85,85,9.38,227.21
47,Sucre ,24/10/2023,Internet,Other,1,10,10,1.1,228.31
48,Sucre ,24/10/2023,Market,Grocery,1,7,7,0.77,229.08
49,Sucre ,24/10/2023,Snack,Food,1,5,5,0.55,229.63
50,Sucre ,24/10/2023,Taxi,Transportation,1,5,5,0.55,230.18
51,Sucre ,24/10/2023,Banana Shake & Fast Food,Food,1,45,45,4.97,235.15
52,Uyuni,25/10/2023,Taxi,Lodging,1,5,5,0.55,235.7
53,Uyuni,26/10/2023,Huminta,Food,1,10,10,1.1,236.8
54,Uyuni,27/10/2023,Accom,Lodging,1,40,40,4.42,241.22
55,Uyuni,28/10/2023,Apple,Grocery,1,10,10,1.1,242.32
56,Uyuni,28/10/2023,Peanut,Grocery,1,5,5,0.55,242.87
57,Uyuni,28/10/2023,Sundries,Grocery,1,23.5,23.5,2.59,245.46
58,Uyuni,28/10/2023,Food,Food,1,30,30,3.31,248.77
59,Uyuni,28/10/2023,3 Days Uyuni Tour,Activities,1,700,700,77.27,326.04
60,Uyuni,28/10/2023,Photo,Activities,1,20,20,2.21,328.25
61,Uyuni,28/10/2023,Sprite,Other,1,10,10,1.1,329.35
62,Uyuni,28/10/2023,Bano,Other,1,9,9,0.99,330.34
63,Uyuni,28/10/2023,Cactus Lane,Activities,1,30,30,3.31,333.65
64,Uyuni,28/10/2023,Snacks,Food,1,17,17,1.88,335.53
65,Uyuni,28/10/2023,Reserva,Activities,1,150,150,16.56,352.09
66,Uyuni,28/10/2023,Food,Food,1,60,60,6.62,358.71
