0,Destination,Date,Description ,Category,Quantity,Unit_Cost,Local_Currency,Pound_Sterling,Total_Spending
1,Galapagos,20/12/2023,Hostal Sumak,Lodging,1,15.15,15.15,11.49,11.49
2,Galapagos,20/12/2023,Grocerries,Grocery,1,7.9,7.9,5.99,17.47
3,Galapagos,20/12/2023,Bus Ticket To Guayaquil,Transportation,1,100,100,20.38,37.85
4,Galapagos,20/12/2023,Uber,Transportation,1,4,4,3.03,40.89
5,Galapagos,20/12/2023,Sim,Others,1,5,5,3.79,44.68
6,Galapagos,20/12/2023,Atm Fee,Others,1,1.5,1.5,1.14,45.81
7,Galapagos,20/12/2023,Entrance Fee To Galapagos,Activities,1,120,120,90.97,136.78
8,Galapagos,20/12/2023,Transport (Bus & Water Boat) From Airport - Hostel,Transportation,1,7,7,5.31,142.09
9,Galapagos,20/12/2023,Breakfast ,Food,1,5,5,3.79,145.88
10,Galapagos,20/12/2023,Lunch,Food,1,10.5,10.5,7.96,153.84
11,Galapagos,20/12/2023,Flight Ticket,Transportation,1,105.75,105.75,80.17,234.01
12,Galapagos,21/12/2023,Ferry Ticket To Isabela,Transportation,1,30,30,22.74,256.75
13,Galapagos,21/12/2023,Entrance Fee,Transportation,1,10,10,7.58,264.33
14,Galapagos,21/12/2023,Groceries ,Grocery,1,10,10,7.58,271.91
15,Galapagos,21/12/2023,Water Boat,Transportation,1,5,5,3.79,275.7
16,Galapagos,22/12/2023,Flight Ticket Back To Quito,Transportation,1,,,133.48,409.18
17,Galapagos,22/12/2023,Ferry Ticket Back To Santa Cruz  ,Transportation,1,30,30,22.74,431.93
18,Galapagos,22/12/2023,Water Boat And Transport To Baltra Island,Transportation,1,5,5,3.79,435.72
19,Galapagos,22/12/2023,Food,Food,1,5,5,3.79,439.51
20,Galapagos,23/12/2023,Top-Up,Others,1,2.5,2.5,1.9,441.4
21,Galapagos,23/12/2023,Repellent,Others,1,3.5,3.5,2.65,444.06
22,Galapagos,23/12/2023,Grocery,Grocery,1,4,4,3.03,447.09
23,Galapagos,24/12/2023,Grocery,Grocery,1,1.75,1.75,1.33,448.42
24,Galapagos,24/12/2023,Cream For Scars,Others,1,3.25,3.25,2.46,450.88
25,Galapagos,25/12/2023,Xmas,Activities,1,21,21,15.92,466.8
26,Galapagos,25/12/2023,Gym,Gym,1,2,2,1.52,468.32
27,Galapagos,26/12/2023,Gym,Gym,1,2,2,1.52,469.83
28,Galapagos,26/12/2023,Snack,Food,1,3,3,2.27,472.11
29,Galapagos,26/12/2023,Top-Up,Others,1,5,5,3.79,475.9
30,Galapagos,27/12/2023,Grocery,Grocery,1,6.5,6.5,4.93,480.82
31,Galapagos,27/12/2023,Gym,Gym,1,2,2,1.52,482.34
32,Galapagos,28/12/2023,Gym,Gym,1,2,2,1.52,483.86
33,Galapagos,28/12/2023,Pharmacy,Others,1,3.75,3.75,2.84,486.7
34,Galapagos,28/12/2023,Egg,Grocery,1,1,1,0.76,487.46
35,Galapagos,29/12/2023,Pharmacy,Others,1,3.25,3.25,2.46,489.92
36,Galapagos,29/12/2023,Fruit,Grocery,1,1,1,0.76,490.68
37,Galapagos,30/12/2023,New Year Eve Eat Out,Activities,1,10,10,7.58,498.26
38,Galapagos,30/12/2023,Alcohol,Activities,1,5,5,3.79,502.05
39,Galapagos,31/12/2023,Grocery,Grocery,1,2.25,2.25,1.71,503.76
40,Galapagos,01/01/2024,Pan De Yuca,Food,1,3,3,2.27,506.03
41,Galapagos,01/01/2024,Grocery,Grocery,1,2.25,2.25,1.71,507.74
42,Galapagos,01/01/2024,Gym,Gym,1,2,2,1.52,509.25
43,Galapagos,01/01/2024,Top Up,Others,1,3.25,3.25,2.46,511.72
44,Galapagos,02/01/2024,Bike,Activities,1,10,10,7.58,519.3
45,Galapagos,02/01/2024,Gym,Gym,1,2,2,1.52,520.81
46,Galapagos,02/01/2024,Food,Food,1,7.65,7.65,5.8,526.61
47,Galapagos,02/01/2024,Flight,Transportation,1,40,40,30.32,556.94
48,Galapagos,03/01/2024,Grocery,Grocery,1,7.5,7.5,5.69,562.62
49,Galapagos,04/01/2024,Souvenier,Others,1,5,5,3.79,566.41
50,Galapagos,04/01/2024,Grocery,Grocery,1,2,2,1.52,567.93
51,Galapagos,05/01/2024,Food,Food,1,3.75,3.75,2.84,570.77
52,Galapagos,05/01/2024,Top Up,Others,1,3,3,2.27,573.05
53,Galapagos,05/01/2024,Water Boat,Transportation,1,3,3,2.27,575.32
