0,Destination,Date,Description ,Category,Quantity,Unit_Cost,Local_Currency,Pound_Sterling,Total_Spending
1,Guatemala City,2024-03-05,Bus- Border To Guatemala City,Transportation,1,10.00,10.00,7.58,7.58
2,Guatemala City,2024-03-05,Metro Card,Others,1,20.00,20.00,1.97,9.55
3,Guatemala City,2024-03-05,Food,Food,1,25.00,25.00,2.46,12.01
4,Guatemala City,2024-03-05,Taxi,Transportation,1,25.00,25.00,2.46,14.47
5,Guatemala City,2024-03-06,Market,Grocery,1,44.00,44.00,4.33,18.80
6,Guatemala City,2024-03-06,Fruit,Grocery,1,33.23,33.23,3.27,22.08
7,Guatemala City,2024-03-06,Souvener,Others,1,10.00,10.00,0.98,23.06
8,Antigua,2024-03-07,Bus To Antigua,Transportation,1,20.00,20.00,1.97,25.03
9,Antigua,2024-03-07,Snack,Others,1,9.00,9.00,0.89,25.92
10,Antigua,2024-03-07,Lunch,Food,1,55.00,55.00,5.42,31.33
11,Antigua,2024-03-07,Bus,Transportation,1,4.00,4.00,0.39,31.73
12,Antigua,2024-03-08,Bus,Transportation,1,8.00,8.00,0.79,32.51
13,Antigua,2024-03-08,Food,Food,1,37.00,37.00,3.64,36.16
14,Antigua,2024-03-08,Gym,Gym,1,25.00,25.00,2.46,38.62
15,Antigua,2024-03-09,Pacaya And Acatenango,Activities,1,390.00,390.00,38.41,77.03
16,Antigua,2024-03-10,Fuergo,Activities,1,200.00,200.00,19.70,96.72
17,Antigua,2024-03-10,Food,Food,1,20.00,20.00,1.97,98.69
18,Antigua,2024-03-10,Toiletries,Others,1,3.00,3.00,0.30,98.99
19,Antigua,2024-03-10,Trail Mixed,Activities,1,20.00,20.00,1.97,100.96
20,Antigua,2024-03-10,Facial Care,Others,1,15.00,15.00,1.48,102.43
21,Antigua,2024-03-10,Grocery,Grocery,1,73.48,73.48,7.24,109.67
22,Antigua,2024-03-10,Souvenir,Others,1,80.00,80.00,7.88,117.55
23,Antigua,2024-03-11,Tamal,Food,1,3.00,3.00,0.30,117.84
24,Antigua,2024-03-11,Bus,Transportation,1,8.00,8.00,0.79,118.63
25,Antigua,2024-03-11,Dessert,Food,1,10.00,10.00,0.98,119.62
26,Antigua,2024-03-11,Market,Grocery,1,30.00,30.00,2.95,122.57
27,Antigua,2024-03-11,Hiking Poles,Activities,1,10.00,10.00,0.98,123.56
28,Antigua,2024-03-12,Grocery,Grocery,1,98.00,98.00,9.65,133.21
29,Antigua,2024-03-12,Bus,Transportation,1,4.00,4.00,0.39,133.60
