0,Destination,Date,Description ,Category,Quantity,Unit_Cost,Local_Currency,Pound_Sterling,Total_Spending
1,San Cristobal,2024-03-27,Grocery,Grocery,1,150,150,5.91,5.91
2,San Cristobal,2024-03-27,Food,Food,1,50,50,1.97,7.88
3,San Cristobal,2024-03-27,Border To Comitan,Transportation,1,60,60,2.36,10.24
4,San Cristobal,2024-03-27,Comitan To San Cris,Transportation,1,80,80,3.15,13.39
5,San Cristobal,2024-03-27,Apple,Food,1,50,50,1.97,15.36
6,San Cristobal,2024-03-27,Coffee,Food,1,46,46,1.81,17.18
7,San Cristobal,2024-03-27,Food,Food,1,50,50,1.97,19.15
8,San Cristobal,2024-03-28,Food,Food,1,66,66,2.6,21.75
9,San Cristobal,2024-03-28,Laundry,Others,1,30,30,1.18,22.93
10,San Cristobal,2024-03-28,Grocery,Grocery,1,127,127,5,27.93
11,San Cristobal,2024-03-29,Empanadas,Food,1,12,12,0.47,28.4
12,San Cristobal,2024-03-29,Fruit,Grocery,1,25,25,0.98,29.39
13,San Cristobal,2024-03-29,Snack,Food,1,35,35,1.38,30.77
14,San Cristobal,2024-03-29,Food,Food,1,60,60,2.36,33.13
15,Palenque,2024-03-30,Collectivo,Transportation,1,10,10,0.39,33.53
16,Palenque,2024-03-30,Ocosingco,Transportation,1,125,125,4.92,38.45
17,Palenque,2024-03-30,Ocosingo To Agua Azul,Transportation,1,65,65,2.56,41.01
18,Palenque,2024-03-30,Agua Azul To Palenque,Transportation,1,60,60,2.36,43.38
19,Palenque,2024-03-30,Taxi To Agua Azul,Transportation,1,30,30,1.18,44.56
20,Palenque,2024-03-30,Entrance,Activities,1,80,80,3.15,47.71
21,Palenque,2024-03-30,Snack,Food,1,15,15,0.59,48.3
22,Palenque,2024-03-30,Food,Food,1,107,107,4.22,52.52
23,Palenque,2024-03-30,Taxi,Transportation,1,100,100,3.94,56.46
24,Palenque,2024-03-30,Others,Others,1,215,215,8.47,64.93
25,San Cristobal,2024-03-31,Food,Food,1,71,71,2.8,67.72
26,San Cristobal,2024-03-31,Water,Food,1,35,35,1.38,69.1
27,San Cristobal,2024-03-31,Entrance For Miso Ha,Activities,1,70,70,2.76,71.86
28,San Cristobal,2024-03-31,Collectivo Back To San Cris,Transportation,1,150,150,5.91,77.77
29,Tuxla,2024-04-01,Taxi,Transportation,1,70,70,2.76,80.53
30,Tuxla,2024-04-01,Collectivo,Transportation,1,60,60,2.36,82.89
31,Tuxla,2024-04-01,Tamal,Food,1,30,30,1.18,84.07
32,Tuxla,2024-04-01,Grocery,Grocery,1,100,100,3.94,88.01
33,Tuxla,2024-04-01,Street Food,Food,1,40,40,1.58,89.59
34,Tuxla,2024-04-02,Gym,Gym,1,50,50,1.97,91.56
35,Tuxla,2024-04-02,Food,Food,1,105,105,4.14,95.69
36,Tuxla,2024-04-02,Actovities - Boat Ride,Activities,1,320,320,12.61,108.3
37,Tuxla,2024-04-02,Colectivo,Transportation,1,54,54,2.13,110.43
38,Tuxla,2024-04-02,Grocery,Grocery,1,51.6,51.6,2.03,112.46
39,Tuxla,2024-04-02,Snack,Food,1,10,10,0.39,112.86
40,Tuxla,2024-04-03,Fruit,Food,1,15,15,0.59,113.45
41,Tuxla,2024-04-03,Gym,Gym,1,50,50,1.97,115.42
42,Tuxla,2024-04-03,Food,Food,1,100,100,3.94,119.36
43,Tuxla,2024-04-03,Snack,Food,1,57,57,2.25,121.6
44,Oaxaca,2024-04-04,Bus Ticket,Transportation,1,650,650,25.61,147.21
45,Oaxaca,2024-04-04,Orange,Food,1,30,30,1.18,148.39
46,Oaxaca,2024-04-04,Avena,Food,1,12,12,0.47,148.86
47,Oaxaca,2024-04-04,Fruit,Food,1,48,48,1.89,150.75
48,Oaxaca,2024-04-04,Snack,Food,1,50,50,1.97,152.72
49,Oaxaca,2024-04-04,Food ,Food,1,70,70,2.76,155.48
50,Oaxaca,2024-04-04,Colectivo,Transportation,1,8,8,0.32,155.8
51,Oaxaca,2024-04-05,Bus,Transportation,1,40,40,1.58,157.37
52,Oaxaca,2024-04-05,Entrance,Activities,1,55,55,2.17,159.54
53,Oaxaca,2024-04-05,Fruit,Food,1,40,40,1.58,161.12
54,Oaxaca,2024-04-05,Food,Food,1,133,133,5.24,166.36
55,Oaxaca,2024-04-06,Buffet,Food,1,90,90,3.55,169.9
56,Oaxaca,2024-04-06,Gym,Gym,1,50,50,1.97,171.87
57,Oaxaca,2024-04-06,Street Food,Food,1,60,60,2.36,174.23
58,Oaxaca,2024-04-07,San Jose- Bus,Transportation,1,360,360,14.18,188.42
59,Oaxaca,2024-04-07,Grocery,Grocery,1,47,47,1.85,190.27
60,Oaxaca,2024-04-07,Street Food,Food,1,44,44,1.73,192
61,Oaxaca,2024-04-07,Food,Food,1,105,105,4.14,196.14
62,Oaxaca,2024-04-07,Entrance,Activities,1,150,150,5.91,202.05
63,Oaxaca,2024-04-07,Mushroom,Activities,1,500,500,19.7,221.75
64,Oaxaca,2024-04-07,Souvenir To Host,Others,1,119,119,4.69,226.44
65,Mexico City,2024-04-08,Food,Food,1,198,198,7.8,234.24
66,Mexico City,2024-04-08,Bus To Mexico City,Lodging,1,300,300,11.82,246.05
67,Mexico City,2024-04-08,Gym,Gym,1,25,25,0.98,247.04
68,Mexico City,2024-04-08,Gym,Gym,1,50,50,1.97,249.01
69,Mexico City,2024-04-08,Street Food,Food,1,48,48,1.89,250.9
70,Mexico City,2024-04-08,Snack,Food,1,32,32,1.26,252.16
71,Mexico City,2024-04-08,Metro,Transportation,1,40,40,1.58,253.74
72,Mexico City,2024-04-08,Food,Food,1,65,65,2.56,256.3
73,Mexico City,2024-04-10,Pyramid,Activities,1,95,95,3.74,260.04
74,Mexico City,2024-04-10,Transport,Transportation,1,136,136,5.36,265.4
75,Mexico City,2024-04-10,Snack,Food,1,10,10,0.39,265.79
76,Mexico City,2024-04-10,Food,Food,1,55,55,2.17,267.96
77,Mexico City,2024-04-10,Tortas,Food,1,25,25,0.98,268.94
78,Mexico City,2024-04-10,Ice Cream,Food,1,15,15,0.59,269.54
79,Mexico City,2024-04-10,Grocery,Grocery,1,146,146,5.75,275.29
80,Mexico City,2024-04-11,Grocery,Grocery,1,157,157,6.19,281.47
81,Mexico City,2024-04-11,Bus Ticket To Raices,Transportation,1,102,102,4.02,285.49
82,Mexico City,2024-04-11,Overcharge,Transportation,1,102,102,4.02,289.51
83,Mexico City,2024-04-11,Lindavista To Toluca,Transportation,1,220,220,8.67,298.18
84,Mexico City,2024-04-11,Pick Up Truck,Transportation,1,50,50,1.97,300.15
85,Mexico City,2024-04-11,Dinner,Food,1,40,40,1.58,301.72
86,Peubla,2024-04-12,Bus Ticket To Peubla,Transportation,1,287,287,11.31,313.03
87,Peubla,2024-04-12,Lunch,Food,1,37,37,1.46,314.49
88,Peubla,2024-04-12,Dinner,Food,1,80,80,3.15,317.64
89,Peubla,2024-04-13,Trail Food,Grocerries,1,263,263,10.36,328
90,Peubla,2024-04-13,Fuel,Activities,1,50,50,1.97,329.97
91,Peubla,2024-04-13,Toilet Paper,Activities,1,9,9,0.35,330.32
92,Peubla,2024-04-13,Food,Food,1,180,180,7.09,337.42
93,Mexico City,2024-04-14,Colectivo,Transportation,1,8.5,8.5,0.33,337.75
94,Mexico City,2024-04-14,Bus Back To Mexico City,Transportation,1,280,280,11.03,348.78
95,Mexico City,2024-04-14,Cemitas,Food,1,90,90,3.55,352.33
96,Mexico City,2024-04-14,Souvenir,Others,1,255,255,10.05,362.37
97,Mexico City,2024-04-15,Street Food,Food,1,97,97,3.82,366.19
98,Mexico City,2024-04-15,Chocolate,Activities,1,150,150,5.91,372.1
99,Mexico City,2024-04-15,Snack,Food,1,34,34,1.34,373.44
100,Mexico City,2024-04-15,Miscellaneous,Others,1,1813,1813,70.71,444.15
